Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IA|ABJI|-7.7957|114.2342|144.36|Station Asem Bagus, Java|2008-01-01T00:00:00|
IA|ACBM|-7.029754|107.682833|766.0|Type MR,Ayu Ciparay,Bandung,Jawa Barat|2022-08-05T00:00:00|
IA|ACJM|-6.80323|108.615124|646.0|Type MR, Astanajapura,Cirebon,Jawa Barat|2019-01-01T00:00:00|
IA|ARSKI|-6.85843|115.28619|43.0|Arjasa, Sumenep, Jawa Timur|2022-09-22T07:45:29.525|
IA|BAJI|-7.09057|112.70853|76.0|Station Type B Bangkalan,Jawa Timur,Jawa Timur|2019-01-01T00:00:00|
IA|BAPJI|-7.912|111.305|244.0|Badegan, Ponorogo, Jawa Timur|2023-07-04T12:00:00|
IA|BBJI|-7.462603|107.65|615.0|BMG-Net, Indonesia (IA-Net)|2016-09-05T00:00:00|
IA|BBJM|-7.326|111.8099|175.0|Type MR, Bubulan,Bojonegoro,Jawa Timur|2019-01-01T00:00:00|
IA|BDBI|-8.52|115.2088|186.0|Badung,  Bali,  Indonesia|2021-11-26T00:00:00|
IA|BKJI|-7.3633|108.5322|84.0|Station Type B Banjar,Kota Banjar,Jawa Barat|2019-01-01T00:00:00|
IA|BLJI|-7.745|113.595|80.85|Station Banyuglugur, Java|2008-01-01T00:00:00|
IA|BMBNG|-6.66347|110.8839|1029.0|Station Type B Ternadi, Dawe, Kudus, Jawa Tengah|2021-12-31T00:00:00|
IA|BOJI|-7.56815|110.68936|196.0|Station Type B Sawit,Boyolali,Jawa Tengah|2019-01-01T00:00:00|
IA|BPJI|-7.81045|109.99712|64.0|Station Type B Bagelen,Purworejo,Jawa Tengah|2019-01-01T00:00:00|
IA|BPMJM|-6.9505233|113.4922383|270.5|Station Type MR, Batumarmar, Pamekasan, Jawa Timur|2020-01-01T00:00:00|
IA|BTJI|-7.1972|109.1641|942.0|Station Type B Bumi Jawa,Tegal,Jawa Tengah|2019-01-01T00:00:00|
IA|BUJI|-7.75603|109.46133|57.0|Station Type B Buayan,Kebumen,Jawa Tengah|2019-01-01T00:00:00|
IA|BWJI|-5.8511|112.6578|57.56|Station Bawean, BMG|2007-01-01T00:00:00|
IA|BYJI|-8.214|114.3557|99.5|Station Banyu Wangi, Java|2008-01-01T00:00:00|
IA|CBJI|-6.6981|106.9349|1006.39|Station Citeko, Indonesia|2006-01-01T00:00:00|
IA|CBJM|-6.93085|107.35624|679.0|Type MR, Cipongkor,Bandung Barat,Jawa Barat|2019-01-01T00:00:00|
IA|CCJM|-7.01692|107.14019|48.0|Type MR, Campaka,Cianjur,Jawa Barat|2019-01-01T00:00:00|
IA|CGJI|-6.6134|105.69|182.0|Station Cigeulis, Java|2008-01-01T00:00:00|
IA|CIJI|-7.31741|108.19589|418.0|Station Type B Cipedes,Kota Tasikmalaya,Jawa Barat|2019-01-01T00:00:00|
IA|CIJM|-6.492453|108.185243|43.0|Type MR, Cikedung,Indramayu,Jawa Barat|2019-01-01T00:00:00|
IA|CIKJI|-6.041924|107.347374|18.4|Cibuaya, Karawang, Jawa Barat|2023-11-27T15:30:00|
IA|CILJI|-7.72497|109.02293||Tide Gauge network|2016-07-01T00:00:00|
IA|CILJI|-6.822|106.316|332.0|Cibeber, Lebak, Banten|2022-09-22T07:45:29.525|
IA|CMJI|-7.784|108.449|78.0|Station Cimerak, Java|2008-01-01T00:00:00|
IA|CNJI|-7.309|107.1296|589.0|Station Cibinong, Java|2008-01-01T00:00:00|
IA|CSBJI|-6.404687|107.881737|50.6|Compreng, Subang, Jawa Barat|2023-11-23T10:30:00|
IA|CSJI|-7.3302|106.521|153.0|Station Type B Ciracap,Sukabumi,Jawa Barat|2019-01-01T00:00:00|
IA|CSJM|-6.74052|108.0099|361.0|Type MR, Congeang,Sumedang,Jawa Barat|2019-01-01T00:00:00|
IA|CTJI|-7.00754|109.18356|104.0|Station Waduk Cacaban, Java, BMG, Indonesia|2007-01-01T00:00:00|
IA|CWJM|-6.74236|107.44486|649.0|Type MR, Cikalong Wetan,Bandung Barat,Jawa Barat|2019-01-01T00:00:00|
IA|DBJI|-6.5538|106.7497|210.84|Station Dramaga, Java|2007-01-01T00:00:00|
IA|DNP|-8.6774|115.2097|63.88|Station Denpasar, Indonesia|2006-01-01T00:00:00|
IA|DWIKO|-8.0102|110.414|361.0|Station Type MR, Panggang, Gunung Kidul, DIY|2020-10-01T00:00:00|
IA|GBJI|-6.9485|109.966|102.0|Station Type B Gringsing,Batang,Jawa Tengah|2019-01-01T00:00:00|
IA|GEBBI|-8.164|114.714|33.0|Gerokgak, Buleleng, Bali|2022-09-22T07:45:29.525|
IA|GEJI|-8.41019|112.64507|80.0|Station Type B Gedangan,Malang,Jawa Timur|2019-01-01T00:00:00|
IA|GGJI|-7.03022|110.92097|82.0|Station Type B Grobogan,Grobogan,Jawa Tengah|2019-01-01T00:00:00|
IA|GGJM|-7.1717|111.2037|81.0|Type MR, Gabus,Grobogan,Jawa Tengah|2019-01-01T00:00:00|
IA|GKJM|-7.8411|110.5922|211.0|Type MR, Gedangsari,Gunung Kidul,D.I Yogyakarta|2019-01-01T00:00:00|
IA|GMJI|-8.2732|113.4441|80.13|Station Gumukmas, Java|2008-01-01T00:00:00|
IA|GRJI|-6.9145|112.4793|97.14|Station Gresik, Java|2008-01-01T00:00:00|
IA|GTJI|-7.163845|110.183745|749.0|Station Type B, Gemawang Temanggung|2021-12-31T00:00:00|
IA|GUJM|-7.0544|110.666|85.0|Type MR, Gubug,Grobogan,Jawa Tengah|2019-01-01T00:00:00|
IA|JAGI|-8.4703|114.152|171.0|GEOFON Station Jajag, Java, Indonesia|2008-07-21T00:00:00|
IA|JBJI|-6.48374|106.46986|146.0|Station Type B Jasinga,Bogor,Jawa Barat|2019-01-01T00:00:00|
IA|JBJM|-6.9729|111.4587|98.0|Type MR, Jepon,Blora,Jawa Tengah|2019-01-01T00:00:00|
IA|JCJI|-6.7344|108.2631|85.57|Station Jatiwangi, Indonesia|2006-01-01T00:00:00|
IA|JPJI|-6.5307|107.4175|150.0|Station Type B Jatiluhur,Purwakarta,Jawa Barat|2019-01-01T00:00:00|
IA|JTJM|-7.0573|106.8015|528.0|Type MR, Jampang Tengah,Sukabumi,Jawa Barat|2019-01-01T00:00:00|
IA|JWJM|-7.206245|110.731458|74.0|Type MR, Juwangi ,Boyolali,Jawa Tengah|2019-01-01T00:00:00|
IA|KBBI|-8.286|115.2547|1053.0|Station Type B Kintamani,Bangli,Bali|2019-01-01T00:00:00|
IA|KBJM|-7.0505|111.2329|62.0|Type MR, Kunduran,Blora,Jawa Tengah|2019-01-01T00:00:00|
IA|KKJM|-7.843384|110.057248|115.0|Type MR, Kokap, Kulon Progo, D.I Yogyakarta|2023-11-30T10:00:00|
IA|KLJI|-7.99607|113.25175|240.0|Station Type B Klakah,Lumajang,Jawa Timur|2019-01-01T00:00:00|
IA|KMMI|-7.0412|113.9157|49.14|Station Kalianget, Indonesia|2006-01-01T00:00:00|
IA|KPJI|-7.3333|108.931|111.0|Station Karang Pucung, Java|2008-01-01T00:00:00|
IA|KPJM|-7.1883|111.9281|23.0|Type MR, Kapas,Bojonegoro,Jawa Timur|2019-01-01T00:00:00|
IA|KWJI|-7.3837|109.9691|868.0|Station Type B Kertek,Wonosobo,Jawa Tengah|2019-01-01T00:00:00|
