origin_time,latitude,longitude,depth,num_of_station,magnitudo
2024-05-16T21:42:10.910000Z,-5.7002,113.6823,5.98,7,3.3
2024-05-17T10:58:27.710000Z,-8.6308,111.0973,15.85,7,1.8
2024-05-22T10:20:07.620000Z,-8.17,111.136,8.87,7,2.2
2024-05-22T10:19:28.020000Z,-11.0293,111.8923,2.99,7,5.0
2024-05-24T11:16:51.560000Z,-7.8145,111.161,16.72,7,0.8
2024-05-24T13:17:30.000000Z,-7.7852,109.6813,23.19,7,0.5
2024-05-26T20:57:57.880000Z,-6.6207,111.2915,6.0,7,2.3
2024-05-27T19:59:37.210000Z,-8.205,111.0108,14.18,7,0.7
2024-05-27T20:05:17.580000Z,-7.7533,111.4693,10.69,7,2.1
2024-05-27T20:21:39.820000Z,-8.1703,111.1398,6.93,7,0.7
2024-05-27T20:39:54.040000Z,-8.2082,111.0078,5.55,7,2.3
2024-05-27T20:51:27.920000Z,-10.1492,111.4923,11.9,7,3.4
2024-05-28T11:14:39.030000Z,-7.6608,111.5627,56.32,7,1.9
2024-05-28T11:18:28.780000Z,-7.97,111.3838,20.64,7,2.2
2024-05-28T11:22:28.120000Z,-7.5718,111.4003,19.95,7,2.0
2024-05-28T11:24:15.880000Z,-5.9863,111.0295,25.7,7,2.3
2024-05-28T12:09:52.930000Z,-7.6532,112.2782,25.56,7,2.2
2024-05-29T06:38:49.730000Z,-8.0918,113.0448,72.79,7,3.1
2024-05-29T12:51:11.480000Z,-7.7812,111.5057,4.85,7,1.7
2024-05-29T12:54:33.780000Z,-7.845,112.5013,151.61,7,2.6
2024-05-29T18:25:09.090000Z,-9.5658,110.3012,15.41,7,2.8
2024-05-30T01:45:10.770000Z,-6.78,111.9857,22.59,7,2.6
2024-05-30T01:45:21.600000Z,-7.5243,111.4985,6.0,7,1.8
2024-05-30T11:46:30.350000Z,-7.0238,109.282,118.32,7,3.9
2024-05-30T12:43:34.240000Z,-7.2822,110.0103,12.77,7,1.4
2024-05-30T18:51:20.650000Z,-6.1602,111.8537,25.81,7,1.9
2024-05-30T20:23:34.650000Z,-5.9193,109.6457,10.75,7,2.0
2024-05-30T20:42:21.650000Z,-6.8585,111.5672,128.17,7,2.6
2024-05-31T10:53:38.200000Z,-6.9787,110.5985,24.97,7,1.2
2024-05-31T14:02:26.950000Z,-7.6607,110.1212,10.97,7,0.3
2024-05-31T15:51:26.100000Z,-8.4703,108.8475,118.27,8,3.1
2024-05-31T18:14:40.730000Z,-7.3137,109.3425,16.11,7,1.6
2024-05-31T18:45:28.920000Z,-7.8947,109.951,1.85,10,1.3
